NAME	TEAM	OPP	PROP	SZN AVG	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	DK	FD
Keith Smith	ATL	ARI	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+2000	0
Frank Darby	ATL	ARI	ATTD	0	0%	0%		0%	'+2000	'+2800
Nick Vannett	NYG	IND	ATTD	0	0%	0%	0,0	0%	'+850	'+1700
Kenny Golladay	NYG	IND	ATTD	0	0%	0%	0,0,0,0,0	0%	'+2000	'+1900
Marcus Johnson	NYG	IND	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+2000	'+2100
David Sills V	NYG	IND	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+1000	0
Zack Moss	IND	NYG	ATTD	0	0%	0%	0,0,0,0,0,0	31%	'+145	'+145
Kylen Granson	IND	NYG	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+500	0
Jordan Wilkins	IND	NYG	ATTD	0	0%	0%	0,0,0	0%	'+1100	'+2300
Mike Strachan	IND	NYG	ATTD	0	0%	0%	0,0,0,0	0%	'+1100	'+1900
Nikola Kalinic	IND	NYG	ATTD	0	0%	0%		0%	'+900	0
Mo Alie Cox	IND	NYG	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	18%	'+450	'+1000
Nick Foles	IND	NYG	ATTD	0	0%	0%	0	0%	'+1000	'+1900
Isaiah Rodgers Sr	IND	NYG	ATTD	0	0%	0%	0,0	0%	0	0
Stanley Morgan Jr	CIN	BUF	ATTD	0	0%	0%		0%	'+1300	0
Devin Asiasi	CIN	BUF	ATTD	0	0%	0%	0,0,0,0	0%	'+1300	0
Trent Taylor	CIN	BUF	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1800	0
Trayveon Williams	CIN	BUF	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+1300	0
Tanner Hudson	CIN	BUF	ATTD	0	0%	0%		0%	0	0
Taiwan Jones	BUF	CIN	ATTD	0	0%	0%	0,0,0,0,0	0%	'+3000	0
Tommy Sweeney	BUF	CIN	ATTD	0	0%	0%	0	14%	'+3000	0
Brevin Jordan	HOU	JAX	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	38%	'+370	'+800
Royce Freeman	HOU	JAX	ATTD	0	0%	0%	0,0	0%	'+140	'+175
Phillip Dorsett Ii	HOU	JAX	ATTD	0	0%	0%		0%	'+400	'+440
Troy Hairston	HOU	JAX	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+2200	'+3500
Tremon Smith	HOU	JAX	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	0%	0	0
Desmond King Ii	HOU	JAX	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	0	0
Chris Manhertz	JAX	HOU	ATTD	0	0%	0%	0,0,0,0,0,0	12%	'+650	'+1900
Luke Farrell	JAX	HOU	ATTD	0	0%	0%	0,0,0	0%	'+1900	'+2500
Kendric Pryor	JAX	HOU	ATTD	0	0%	0%		0%	'+1900	0
Snoop Conner	JAX	HOU	ATTD	0	0%	0%	0,0,0,0	0%	'+1100	'+1100
Dan Arnold	JAX	HOU	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+1100	'+1500
Tim Jones	JAX	HOU	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+550	'+1600
Malcolm Brown	LAR	LAC	ATTD	0	0%	0%	0,0,0,0,0,0	17%	'+1300	'+1600
Lance Mccutcheon	LAR	LAC	ATTD	0	0%	0%	0,0,0	0%	'+1300	'+2200
Austin Trammell	LAR	LAC	ATTD	0	0%	0%	0,0	0%	'+1100	'+2000
Kyren Williams	LAR	LAC	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+500	'+550
Brandon Powell	LAR	LAC	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+450	'+490
Jared Pinkney	LAR	LAC	ATTD	0	0%	0%	0	0%	'+1900	0
Brycen Hopkins	LAR	LAC	ATTD	0	0%	0%	0,0,0,0,0	0%	'+550	'+900
Ronnie Rivers	LAR	LAC	ATTD	0	0%	0%	0,0	0%	'+2500	'+3400
Tre Mckitty	LAC	LAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	0%	'+1400	'+1100
Stone Smartt	LAC	LAR	ATTD	0	0%	0%	0,0,0	0%	'+1300	'+1600
Donald Parham Jr	LAC	LAR	ATTD	0	0%	0%	0,0,0,0	25%	'+750	'+850
Justin Herbert	LAC	LAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18%	'+475	'+500
Isaiah Spiller	LAC	LAR	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1900	'+490
Michael Bandy	LAC	LAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	0%	'+1900	0
Larry Rountree Iii	LAC	LAR	ATTD	0	0%	0%		12%	0	'+490
Sony Michel	LAC	LAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	29%	0	0
Grant Calcaterra	PHI	NO	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1900	'+2300
Britain Covey	PHI	NO	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1900	0
Trey Sermon	PHI	NO	ATTD	0	0%	0%	0	20%	'+1900	0
Jack Stoll	PHI	NO	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+800	'+1600
Tyree Jackson	PHI	NO	ATTD	0	0%	0%		33%	0	0
Eno Benjamin	NO	PHI	ATTD	0	0%	0%		0%	'+1000	'+2200
David Johnson	NO	PHI	ATTD	0	0%	0%	0,0,0	0%	'+500	'+480
Andy Dalton	NO	PHI	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	0%	'+900	'+1200
Kirk Merritt	NO	PHI	ATTD	0	0%	0%		0%	'+2500	0
Adam Prentice	NO	PHI	ATTD	0	0%	0%	0,0,0,0,0	0%	'+2500	'+2200
Dwayne Washington	NO	PHI	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+1200	0
Keith Kirkwood	NO	PHI	ATTD	0	0%	0%	0,0,0	0%	0	'+2200
Carson Wentz	WSH	CLE	ATTD	0	0%	0%	0,0,0,0,0,0,0	6%	'+475	'+800
Jonathan Williams	WSH	CLE	ATTD	0	0%	0%	0,0,0,0,0,0,0	20%	'+270	'+430
Brian Robinson	WSH	CLE	ATTD	0	0%	0%		0%	-105	-110
Jaret Patterson	WSH	CLE	ATTD	0	0%	0%		14%	'+850	'+1000
Cam Sims	WSH	CLE	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0	20%	'+1600	'+2600
Cole Turner	WSH	CLE	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+1600	'+3200
Armani Rogers	WSH	CLE	ATTD	0	0%	0%	0,0,0,0,0,0	0%	0	0
David Bell	CLE	WSH	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+600	'+1000
Demetric Felton	CLE	WSH	ATTD	0	0%	0%		0%	'+2200	'+2500
Dernest Johnson	CLE	WSH	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	25%	'+2200	'+2500
Jaelon Darden	CLE	WSH	ATTD	0	0%	0%		0%	'+2200	0
Jerome Ford	CLE	WSH	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0	0%	'+2200	0
Pharaoh Brown	CLE	WSH	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1400	'+1500
Michael Woods Ii	CLE	WSH	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1400	'+2400
John Kelly Jr	CLE	WSH	ATTD	0	0%	0%		0%	0	'+2500
Deejay Dallas	SEA	NYJ	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	17%	'+650	'+500
Laquon Treadwell	SEA	NYJ	ATTD	0	0%	0%	0,0	0%	'+350	'+490
Tyler Mabry	SEA	NYJ	ATTD	0	0%	0%		0%	'+1600	0
Cade Johnson	SEA	NYJ	ATTD	0	0%	0%		0%	'+1600	0
Nick Bellore	SEA	NYJ	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+2200	0
Godwin Igwebuike	SEA	NYJ	ATTD	0	0%	0%	0,0,0	0%	'+2200	0
Dareke Young	SEA	NYJ	ATTD	0	0%	0%	0,0,0	0%	'+1300	'+1700
Penny Hart	SEA	NYJ	ATTD	0	0%	0%	0,0,0	0%	'+900	'+800
Kenny Yeboah	NYJ	SEA	ATTD	0	0%	0%	0,0,0	0%	'+2000	'+2400
Jeremy Ruckert	NYJ	SEA	ATTD	0	0%	0%	0	0%	'+2000	0
Denzel Mims	NYJ	SEA	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	0%	0	'+750
Jeff Smith	NYJ	SEA	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	0	0
Bo Melton	GB	MIN	ATTD	0	0%	0%		0%	'+1300	0
Josiah Deguara	GB	MIN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	17%	'+1300	'+1200
Patrick Taylor	GB	MIN	ATTD	0	0%	0%	0,0,0,0,0	25%	'+1000	'+1200
Tyler Goodson	GB	MIN	ATTD	0	0%	0%		0%	'+1300	'+1100
Tyler Davis	GB	MIN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+1300	0
Aaron Rodgers	GB	MIN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19%	'+550	'+650
Ty Chandler	MIN	GB	ATTD	0	0%	0%	0	0%	'+1400	0
Jalen Nailor	MIN	GB	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+2000	0
Kene Nwangwu	MIN	GB	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	0%	'+2000	'+1600
Nick Muse	MIN	GB	ATTD	0	0%	0%		0%	'+2000	0
Kendall Hinton	DEN	KC	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	10%	'+800	'+480
Freddie Swain	DEN	KC	ATTD	0	0%	0%	0,0	0%	'+650	'+480
Chase Edmonds	DEN	KC	ATTD	0	0%	0%	0,0,0	17%	'+320	'+360
Tyler Badie	DEN	KC	ATTD	0	0%	0%		0%	'+2000	0
Albert Okwuegbunam	DEN	KC	ATTD	0	0%	0%	0,0,0,0	15%	'+1300	'+1100
Andrew Beck	DEN	KC	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+2800	'+2200
Montrell Washington	DEN	KC	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+2000	'+2800
Ronald Jones	KC	DEN	ATTD	0	0%	0%	0,0,0	27%	'+1600	'+1300
Michael Burton	KC	DEN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0	11%	'+1600	'+1500
Blake Bell	KC	DEN	ATTD	0	0%	0%		0%	'+900	'+1700
Skyy Moore	KC	DEN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+600	'+650
Bryan Edwards	KC	DEN	ATTD	0	0%	0%		0%	0	0
Jordan Mason	SF	LV	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+390	'+175
Danny Gray	SF	LV	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1300	'+1200
Tay Martin	SF	LV	ATTD	0	0%	0%		0%	'+1000	0
Tyrion Davis Price	SF	LV	ATTD	0	0%	0%	0,0	0%	'+550	'+175
Tyler Kroft	SF	LV	ATTD	0	0%	0%	0,0,0,0,0	11%	'+550	'+2000
Ray Ray Mccloud	SF	LV	ATTD	0	0%	0%		0%	'+450	'+600
Charlie Woerner	SF	LV	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1800	'+2000
Willie Snead Iv	SF	LV	ATTD	0	0%	0%		0%	0	'+1200
Jarrett Stidham	LV	SF	ATTD	0	0%	0%	0	0%	'+750	'+1100
Zamir White	LV	SF	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1600	'+1400
Jesper Horsted	LV	SF	ATTD	0	0%	0%	0,0,0,0,0	67%	'+2800	0
Brittain Brown	LV	SF	ATTD	0	0%	0%		0%	'+2800	0
Jakob Johnson	LV	SF	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+2000	'+4000
Ian Thomas	CAR	TB	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	0%	'+450	'+700
Andre Roberts	CAR	TB	ATTD	0	0%	0%	0	0%	'+1800	0
Stephen Sullivan	CAR	TB	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+1500	'+1700
Rashard Higgins	CAR	TB	ATTD	0	0%	0%		8%	'+2500	0
Giovanni Ricci	CAR	TB	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+2500	'+3500
Cameron Brate	TB	CAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	25%	'+600	'+420
Kyle Rudolph	TB	CAR	ATTD	0	0%	0%	0,0,0,0	7%	'+2200	'+2200
Keshawn Vaughn	TB	CAR	ATTD	0	0%	0%	0,0,0,0,0	33%	'+1200	'+2700
Deven Thompkins	TB	CAR	ATTD	0	0%	0%	0,0,0	0%	'+2200	'+1600
Giovani Bernard	TB	CAR	ATTD	0	0%	0%	0,0,0	30%	'+2200	0
Scotty Miller	TB	CAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0	20%	'+1200	'+1700
Tom Brady	TB	CAR	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12%	'+850	'+1600
Trestan Ebner	CHI	DET	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+900	'+1800
Trevon Wesco	CHI	DET	ATTD	0	0%	0%	0,0,0	0%	'+1100	'+1500
Ryan Griffin	CHI	DET	ATTD	0	0%	0%	0,0,0,0,0,0,0	14%	'+1400	'+1500
Khari Blasingame	CHI	DET	ATTD	0	0%	0%	0,0,0,0,0	0%	'+1900	0
Darrynton Evans	CHI	DET	ATTD	0	0%	0%	0,0,0	0%	'+1900	'+1300
Kalif Raymond	DET	CHI	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19%	'+600	'+700
Jared Goff	DET	CHI	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+400	'+750
Jason Cabinda	DET	CHI	ATTD	0	0%	0%	0,0,0,0,0	14%	'+1500	'+2300
Craig Reynolds	DET	CHI	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+700	'+2300
Stanley Berryhill	DET	CHI	ATTD	0	0%	0%	0	0%	0	0
Tom Kennedy	DET	CHI	ATTD	0	0%	0%	0,0,0,0,0	0%	0	0
Matt Sokol	NE	MIA	ATTD	0	0%	0%		0%	'+1000	'+1500
Matthew Slater	NE	MIA	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+2000	0
Raleigh Webb	NE	MIA	ATTD	0	0%	0%	0	0%	'+1200	0
Jonnu Smith	NE	MIA	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	7%	0	0
Myles Bryant	NE	MIA	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	0	0
Myles Gaskin	MIA	NE	ATTD	0	0%	0%	0,0	29%	'+2200	0
Erik Ezukanma	MIA	NE	ATTD	0	0%	0%		0%	'+2200	0
Tanner Conner	MIA	NE	ATTD	0	0%	0%	0,0	0%	'+2200	0
Hunter Long	MIA	NE	ATTD	0	0%	0%	0	0%	'+1600	'+2700
Cedrick Wilson Jr	MIA	NE	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0	36%	'+950	'+950
Teddy Bridgewater	MIA	NE	ATTD	0	0%	0%	0,0,0,0	14%	'+600	'+1300
Ty Hilton	DAL	TEN	ATTD	0	0%	0%	0	0%	'+550	'+800
Kavontae Turpin	DAL	TEN	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1300	'+1700
Sean Mckeon	DAL	TEN	ATTD	0	0%	0%	0,0,0	25%	'+2000	'+2900
Jalen Tolbert	DAL	TEN	ATTD	0	0%	0%	0,0	0%	'+2000	'+1800
James Washington	DAL	TEN	ATTD	0	0%	0%	0	13%	'+2000	'+1800
Qadree Ollison	DAL	TEN	ATTD	0	0%	0%	0	17%	'+1000	'+2100
Jonathan Ward	TEN	DAL	ATTD	0	0%	0%	0	0%	'+1300	0
Joshua Dobbs	TEN	DAL	ATTD	0	0%	0%		0%	'+500	'+550
Julius Chestnut	TEN	DAL	ATTD	0	0%	0%	0,0,0,0	0%	'+390	'+500
Hassan Haskins	TEN	DAL	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	0%	'+195	'+190
Racey Mcmath	TEN	DAL	ATTD	0	0%	0%	0,0	0%	'+2500	'+3900
Kevin Rader	TEN	DAL	ATTD	0	0%	0%	0,0,0,0,0,0	0%	'+2500	'+4500
Chris Conley	TEN	DAL	ATTD	0	0%	0%	0,0,0	14%	'+1700	'+1900
Diontae Johnson	PIT	BAL	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	44%	'+275	'+270
Gunner Olszewski	PIT	BAL	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1600	'+2500
Miles Boykin	PIT	BAL	ATTD	0	0%	0%	0,0,0,0,0,0,0,0	0%	'+1400	'+2400
Zach Gentry	PIT	BAL	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1200	'+1600
Steven Sims Jr	PIT	BAL	ATTD	0	0%	0%		0%	'+700	'+750
Tylan Wallace	BAL	PIT	ATTD	0	0%	0%	0,0,0,0	0%	'+1800	'+1100
Andy Isabella	BAL	PIT	ATTD	0	0%	0%	0	0%	'+1500	'+1600
James Proche Ii	BAL	PIT	ATTD	0	0%	0%	0,0,0,0,0,0,0	0%	'+1500	0
Charlie Kolar	BAL	PIT	ATTD	0	0%	0%		0%	'+2500	0
Patrick Ricard	BAL	PIT	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0	14%	'+2500	'+2100
Nick Boyle	BAL	PIT	ATTD	0	0%	0%	0,0	0%	'+2500	'+3100
Justice Hill	BAL	PIT	ATTD	0	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0	0%	'+1500	'+2100
Desean Jackson	BAL	PIT	ATTD	0	0%	0%	0,0,0,0,0,0	14%	'+700	'+700
Sammy Watkins	BAL	PIT	ATTD	0	0%	0%	0	0%	'+650	'+850
